BatchNumber,MachineNumber,ProductCode,TimeStarted,TimeStopped,NumberProduced,NumberRejected
3848,3,54,2009-01-09 09:08:00,2009-01-09 14:28:00,1830,19
3849,4,58,2009-01-09 09:08:00,2009-01-09 14:28:00,1830,19
3849,5,44,2009-01-09 09:21:00,2009-01-09 11:26:00,714,7
3850,6,17,2009-01-09 09:21:00,2009-01-09 11:26:00,1339,14
3851,1,17,2009-01-10 09:35:00,2009-01-10 12:35:00,1929,20
3851,2,29,2009-01-10 09:35:00,2009-01-10 11:30:00,1807,19
3851,3,47,2009-01-10 08:09:00,2009-01-10 10:04:00,657,7
3852,4,34,2009-01-10 08:09:00,2009-01-10 08:54:00,257,2
3852,5,37,2009-01-10 08:22:00,2009-01-10 09:07:00,257,2
3853,6,23,2009-01-10 08:22:00,2009-01-10 16:17:00,5092,54
3854,1,23,2009-01-13 08:04:00,2009-01-13 13:19:00,3377,36
3854,2,27,2009-01-13 08:04:00,2009-01-13 13:19:00,4952,53
3854,3,59,2009-01-13 08:18:00,2009-01-13 15:28:00,2460,26
3855,4,45,2009-01-13 08:18:00,2009-01-13 15:28:00,2460,26
3855,5,36,2009-01-13 08:32:00,2009-01-13 14:32:00,2059,22
3856,6,22,2009-01-13 08:32:00,2009-01-13 10:02:00,964,10
3857,1,22,2009-01-14 08:45:00,2009-01-14 09:05:00,214,2
3857,2,27,2009-01-14 08:45:00,2009-01-14 09:05:00,314,3
3857,3,58,2009-01-14 08:59:00,2009-01-14 15:34:00,2260,24
3858,4,45,2009-01-14 09:13:00,2009-01-14 15:38:00,2203,23
3858,5,49,2009-01-14 09:13:00,2009-01-14 15:38:00,2203,23
3859,6,23,2009-01-14 09:26:00,2009-01-14 14:41:00,3377,36
3860,1,23,2009-01-15 09:26:00,2009-01-15 14:41:00,3377,36
3860,2,27,2009-01-15 08:27:00,2009-01-15 12:32:00,3852,41
3860,3,59,2009-01-15 08:27:00,2009-01-15 09:07:00,228,2
3861,4,45,2009-01-15 08:41:00,2009-01-15 09:21:00,228,2
3861,5,49,2009-01-15 08:41:00,2009-01-15 16:36:00,2718,29
3862,6,22,2009-01-15 08:55:00,2009-01-15 15:40:00,4343,46
3863,1,22,2009-01-16 08:55:00,2009-01-16 15:40:00,4343,46
3863,2,26,2009-01-16 09:08:00,2009-01-16 14:43:00,5267,56
3863,3,58,2009-01-16 09:08:00,2009-01-16 14:43:00,1917,20
3864,4,44,2009-01-16 09:22:00,2009-01-16 13:52:00,1545,16
3864,5,47,2009-01-16 09:22:00,2009-01-16 16:22:00,2404,25
3865,6,12,2009-01-16 09:36:00,2009-01-16 16:36:00,4504,48
3866,1,12,2009-01-17 09:36:00,2009-01-17 11:46:00,1394,14
3866,2,24,2009-01-17 08:09:00,2009-01-17 10:19:00,2044,21
3866,3,42,2009-01-17 08:09:00,2009-01-17 09:14:00,372,3
3867,4,46,2009-01-17 08:23:00,2009-01-17 09:28:00,372,3
3867,5,33,2009-01-17 08:37:00,2009-01-17 16:52:00,2833,30
3868,6,19,2009-01-17 08:37:00,2009-01-17 15:42:00,4558,48
3869,1,19,2009-01-20 08:05:00,2009-01-20 15:30:00,4773,51
3869,2,28,2009-01-20 08:19:00,2009-01-20 15:44:00,6998,74
3869,3,59,2009-01-20 08:19:00,2009-01-20 14:39:00,2176,23
3870,4,46,2009-01-20 08:32:00,2009-01-20 14:52:00,2176,23
3870,5,36,2009-01-20 08:32:00,2009-01-20 10:57:00,830,8
3871,6,23,2009-01-20 08:46:00,2009-01-20 10:06:00,858,9
3872,1,23,2009-01-21 08:46:00,2009-01-21 08:56:00,107,1
3872,2,26,2009-01-21 08:16:00,2009-01-21 08:26:00,157,1
3872,3,58,2009-01-21 09:13:00,2009-01-21 16:33:00,2520,27
3873,4,49,2009-01-21 09:13:00,2009-01-21 16:33:00,2520,27
3873,5,52,2009-01-21 09:27:00,2009-01-21 15:42:00,2147,23
3874,6,11,2009-01-21 09:27:00,2009-01-21 14:32:00,3272,35
3875,1,11,2009-01-22 08:01:00,2009-01-22 13:06:00,3272,35
3875,2,29,2009-01-22 08:01:00,2009-01-22 11:56:00,3696,39
3875,3,46,2009-01-22 08:14:00,2009-01-22 12:09:00,1346,14
3876,4,33,2009-01-22 08:14:00,2009-01-22 11:04:00,973,10
3876,5,51,2009-01-22 08:28:00,2009-01-22 09:28:00,343,3
3877,6,23,2009-01-22 08:28:00,2009-01-22 09:28:00,643,6
3878,1,23,2009-01-23 08:42:00,2009-01-23 09:12:00,321,3
3878,2,28,2009-01-23 08:42:00,2009-01-23 09:12:00,471,5
3878,3,59,2009-01-23 08:55:00,2009-01-23 16:40:00,2664,28
3879,4,46,2009-01-23 08:55:00,2009-01-23 15:30:00,2262,24
3879,5,36,2009-01-23 09:09:00,2009-01-23 15:44:00,2263,24
3880,6,9,2009-01-23 09:09:00,2009-01-23 14:34:00,3487,37
3881,1,9,2009-01-24 09:23:00,2009-01-24 14:48:00,3487,37
3881,2,29,2009-01-24 09:23:00,2009-01-24 13:43:00,4089,43
3881,3,47,2009-01-24 09:36:00,2009-01-24 12:46:00,1088,11
3882,4,33,2009-01-24 09:36:00,2009-01-24 12:46:00,1088,11
3882,5,51,2009-01-24 08:11:00,2009-01-24 10:11:00,687,7
3883,6,14,2009-01-24 08:11:00,2009-01-24 09:06:00,590,6
3884,1,14,2009-01-27 09:32:00,2009-01-27 11:57:00,1556,16
3884,2,32,2009-01-27 09:32:00,2009-01-27 10:47:00,1179,12
3884,3,49,2009-01-27 08:06:00,2009-01-27 09:21:00,429,4
3885,4,53,2009-01-27 08:06:00,2009-01-27 08:11:00,28,0
3885,5,58,2009-01-27 09:02:00,2009-01-27 16:22:00,2514,26
3886,6,17,2009-01-27 08:33:00,2009-01-27 15:53:00,4714,50
3887,1,17,2009-01-28 08:33:00,2009-01-28 14:43:00,3964,42
3887,2,25,2009-01-28 08:47:00,2009-01-28 14:17:00,5185,55
3887,3,57,2009-01-28 08:47:00,2009-01-28 14:17:00,1885,20
3888,4,43,2009-01-28 09:01:00,2009-01-28 12:51:00,1314,14
3888,5,53,2009-01-28 09:01:00,2009-01-28 12:51:00,1314,14
3889,6,16,2009-01-28 09:14:00,2009-01-28 11:59:00,1767,18
3890,1,16,2009-01-29 09:14:00,2009-01-29 11:59:00,1767,18
3890,2,25,2009-01-29 09:28:00,2009-01-29 11:03:00,1492,15
3890,3,43,2009-01-29 09:28:00,2009-01-29 09:53:00,142,1
3891,4,47,2009-01-29 08:02:00,2009-01-29 08:27:00,142,1
3891,5,33,2009-01-29 08:29:00,2009-01-29 13:49:00,1828,19
3892,6,12,2009-01-29 08:43:00,2009-01-29 12:58:00,2732,29
3893,1,12,2009-01-30 08:56:00,2009-01-30 13:11:00,2732,29
3893,2,24,2009-01-30 08:56:00,2009-01-30 12:01:00,2907,31
3893,3,55,2009-01-30 08:57:00,2009-01-30 12:02:00,1057,11
3894,4,42,2009-01-30 08:57:00,2009-01-30 10:52:00,657,7
3894,5,46,2009-01-30 09:24:00,2009-01-30 15:19:00,2029,21
3895,6,19,2009-01-30 09:24:00,2009-01-30 15:19:00,3804,40
3896,1,19,2009-01-31 09:37:00,2009-01-31 17:37:00,5143,55
3896,2,32,2009-01-31 09:37:00,2009-01-31 16:27:00,6443,69
3896,3,58,2009-01-31 08:11:00,2009-01-31 15:01:00,2343,25
3897,4,44,2009-01-31 08:11:00,2009-01-31 13:56:00,1972,21
3897,5,43,2009-01-31 08:25:00,2009-01-31 13:00:00,1572,16
3898,6,17,2009-01-31 08:25:00,2009-01-31 13:00:00,2947,31
3899,1,17,2009-02-03 08:07:00,2009-02-03 13:02:00,3161,33
3899,2,25,2009-02-03 08:07:00,2009-02-03 13:02:00,4636,49
3899,3,57,2009-02-03 08:52:00,2009-02-03 12:42:00,1315,14
3900,4,43,2009-02-03 08:52:00,2009-02-03 11:32:00,914,9
3900,5,53,2009-02-03 08:34:00,2009-02-03 11:14:00,915,9
3901,6,16,2009-02-03 08:34:00,2009-02-03 10:04:00,964,10
3902,1,16,2009-02-04 08:48:00,2009-02-04 10:18:00,964,10
3902,2,25,2009-02-04 08:48:00,2009-02-04 09:13:00,392,4
3902,3,43,2009-02-04 09:01:00,2009-02-04 16:36:00,2602,27
3903,4,47,2009-02-04 09:15:00,2009-02-04 16:50:00,2602,27
3903,5,48,2009-02-04 09:15:00,2009-02-04 15:40:00,2202,23
3904,6,21,2009-02-04 09:29:00,2009-02-04 15:54:00,4127,44
3905,1,21,2009-02-05 09:29:00,2009-02-05 14:49:00,3430,36
3905,2,25,2009-02-05 08:02:00,2009-02-05 10:07:00,1964,21
3905,3,57,2009-02-05 08:02:00,2009-02-05 10:07:00,714,7
3906,4,43,2009-02-05 08:16:00,2009-02-05 11:16:00,1029,11
3906,5,47,2009-02-05 08:03:00,2009-02-05 11:03:00,1029,11
3907,6,2,2009-02-05 08:03:00,2009-02-05 09:58:00,1232,13
3908,1,2,2009-02-06 08:43:00,2009-02-06 09:28:00,482,5
3908,2,32,2009-02-06 08:43:00,2009-02-06 09:28:00,707,7
3908,3,37,2009-02-06 08:57:00,2009-02-06 16:52:00,2717,29
3909,4,55,2009-02-06 08:57:00,2009-02-06 16:52:00,2717,29
3909,5,41,2009-02-06 09:11:00,2009-02-06 16:01:00,2345,25
3910,6,14,2009-02-06 09:11:00,2009-02-06 14:51:00,3645,39
3911,1,14,2009-02-07 09:24:00,2009-02-07 15:04:00,3645,39
3911,2,32,2009-02-07 09:24:00,2009-02-07 13:54:00,4244,45
3911,3,36,2009-02-07 09:38:00,2009-02-07 14:08:00,1544,16
3912,4,54,2009-02-07 09:38:00,2009-02-07 13:03:00,1172,12
3912,5,58,2009-02-07 08:12:00,2009-02-07 10:27:00,772,8
3913,6,17,2009-02-07 08:12:00,2009-02-07 10:27:00,1447,15
3914,1,17,2009-02-10 08:03:00,2009-02-10 10:38:00,1662,17
3914,2,26,2009-02-10 08:03:00,2009-02-10 10:38:00,2437,26
3914,3,57,2009-02-10 08:24:00,2009-02-10 09:54:00,515,5
3915,4,44,2009-02-10 08:24:00,2009-02-10 08:44:00,114,1
3915,5,43,2009-02-10 08:54:00,2009-02-10 09:14:00,114,1
3916,6,16,2009-02-10 08:54:00,2009-02-10 15:29:00,4235,45
3917,1,16,2009-02-11 09:08:00,2009-02-11 15:43:00,4235,45
3917,2,25,2009-02-11 09:08:00,2009-02-11 15:33:00,6053,64
3917,3,57,2009-02-11 09:21:00,2009-02-11 12:31:00,1087,11
3918,4,43,2009-02-11 09:21:00,2009-02-11 12:31:00,1087,11
3918,5,47,2009-02-11 09:35:00,2009-02-11 13:40:00,1402,15
3919,6,2,2009-02-11 08:09:00,2009-02-11 12:14:00,2627,28
3920,1,2,2009-02-12 08:09:00,2009-02-12 11:09:00,1930,20
3920,2,32,2009-02-12 08:22:00,2009-02-12 10:12:00,1729,18
3920,3,37,2009-02-12 08:22:00,2009-02-12 10:12:00,629,6
3921,4,55,2009-02-12 08:36:00,2009-02-12 09:16:00,229,2
3921,5,41,2009-02-12 08:36:00,2009-02-12 09:16:00,229,2
3922,6,14,2009-02-12 09:15:00,2009-02-12 17:10:00,5094,54
3923,1,14,2009-02-13 09:15:00,2009-02-13 13:45:00,2895,31
3923,2,32,2009-02-13 09:03:00,2009-02-13 13:33:00,4245,45
3923,3,36,2009-02-13 09:31:00,2009-02-13 16:31:00,2404,25
3924,4,54,2009-02-13 09:31:00,2009-02-13 11:41:00,744,7
3924,5,58,2009-02-13 08:04:00,2009-02-13 10:14:00,744,7
3925,6,17,2009-02-13 08:04:00,2009-02-13 09:09:00,697,7
3926,1,17,2009-02-14 08:18:00,2009-02-14 09:23:00,697,7
3926,2,26,2009-02-14 08:18:00,2009-02-14 16:33:00,7784,83
3926,3,57,2009-02-14 08:32:00,2009-02-14 15:37:00,2433,26
3927,4,44,2009-02-14 08:45:00,2009-02-14 15:50:00,2433,26
3927,5,43,2009-02-14 08:45:00,2009-02-14 14:45:00,2061,22
3928,6,16,2009-02-14 08:59:00,2009-02-14 14:59:00,3861,41
3929,1,16,2009-02-17 08:27:00,2009-02-17 14:47:00,4076,43
3929,2,26,2009-02-17 08:41:00,2009-02-17 11:06:00,2280,24
3929,3,58,2009-02-17 08:41:00,2009-02-17 10:01:00,458,4
3930,4,44,2009-02-17 08:55:00,2009-02-17 10:15:00,458,4
3930,5,47,2009-02-17 08:55:00,2009-02-17 09:05:00,57,0
3931,6,12,2009-02-17 09:08:00,2009-02-17 16:28:00,4720,50
3932,1,12,2009-02-18 09:08:00,2009-02-18 16:28:00,4720,50
3932,2,25,2009-02-18 09:22:00,2009-02-18 15:37:00,5898,63
3932,3,37,2009-02-18 09:22:00,2009-02-18 15:37:00,2148,23
3933,4,45,2009-02-18 09:36:00,2009-02-18 14:41:00,1747,18
3933,5,36,2009-02-18 09:36:00,2009-02-18 13:31:00,1346,14
3934,6,22,2009-02-18 08:09:00,2009-02-18 12:04:00,2521,27
3935,1,22,2009-02-19 08:09:00,2009-02-19 10:59:00,1824,19
3935,2,27,2009-02-19 08:23:00,2009-02-19 11:13:00,2674,28
3935,3,58,2009-02-19 08:23:00,2009-02-19 09:23:00,343,3
3936,4,45,2009-02-19 08:37:00,2009-02-19 09:07:00,171,1
3936,5,46,2009-02-19 08:37:00,2009-02-19 09:07:00,171,1
3937,6,18,2009-02-19 09:05:00,2009-02-19 16:50:00,4989,53
3938,1,18,2009-02-20 09:05:00,2009-02-20 16:50:00,4989,53
3938,2,25,2009-02-20 09:04:00,2009-02-20 15:39:00,6213,66
3938,3,36,2009-02-20 09:04:00,2009-02-20 14:29:00,1862,19
3939,4,54,2009-02-20 09:18:00,2009-02-20 14:43:00,1862,19
3939,5,41,2009-02-20 09:18:00,2009-02-20 13:38:00,1490,15
3940,6,13,2009-02-20 09:31:00,2009-02-20 13:51:00,2790,29
3941,1,13,2009-02-21 09:31:00,2009-02-21 12:41:00,2038,21
3941,2,26,2009-02-21 08:05:00,2009-02-21 10:05:00,1887,20
3941,3,58,2009-02-21 08:05:00,2009-02-21 10:05:00,687,7
3942,4,44,2009-02-21 08:19:00,2009-02-21 09:14:00,315,3
3942,5,47,2009-02-21 08:19:00,2009-02-21 09:14:00,315,3
3943,6,12,2009-02-21 08:32:00,2009-02-21 16:37:00,5205,55
3944,1,12,2009-02-24 08:01:00,2009-02-24 08:06:00,53,0
3944,2,24,2009-02-24 08:14:00,2009-02-24 08:19:00,78,0
3944,3,42,2009-02-24 08:14:00,2009-02-24 15:34:00,2514,26
3945,4,46,2009-02-24 08:28:00,2009-02-24 14:38:00,2114,22
3945,5,33,2009-02-24 08:28:00,2009-02-24 14:38:00,2114,22
3946,6,19,2009-02-24 08:42:00,2009-02-24 14:12:00,3536,37
3947,1,19,2009-02-25 08:42:00,2009-02-25 14:12:00,3536,37
3947,2,28,2009-02-25 08:55:00,2009-02-25 12:45:00,3614,38
3947,3,59,2009-02-25 09:09:00,2009-02-25 11:54:00,943,10
3948,4,46,2009-02-25 09:09:00,2009-02-25 11:54:00,943,10
3948,5,36,2009-02-25 09:23:00,2009-02-25 10:58:00,543,5
3949,6,23,2009-02-25 09:23:00,2009-02-25 10:58:00,1018,10
3950,1,23,2009-02-26 09:36:00,2009-02-26 10:01:00,267,2
3950,2,27,2009-02-26 09:36:00,2009-02-26 17:16:00,7229,77
3950,3,59,2009-02-26 08:11:00,2009-02-26 15:51:00,2629,28
3951,4,45,2009-02-26 08:11:00,2009-02-26 14:41:00,2229,23
3951,5,49,2009-02-26 08:24:00,2009-02-26 14:54:00,2229,23
3952,6,22,2009-02-26 08:24:00,2009-02-26 13:44:00,3429,36
3953,1,22,2009-02-27 08:37:00,2009-02-27 12:52:00,2732,29
3953,2,26,2009-02-27 08:37:00,2009-02-27 12:52:00,4007,42
3953,3,46,2009-02-27 08:51:00,2009-02-27 14:46:00,2029,21
3954,4,49,2009-02-27 08:51:00,2009-02-27 14:46:00,2029,21
3954,5,52,2009-02-27 09:32:00,2009-02-27 17:32:00,2744,29
3955,6,11,2009-02-27 09:32:00,2009-02-27 17:32:00,5144,55
3956,1,11,2009-02-28 08:06:00,2009-02-28 14:56:00,4394,47
3956,2,29,2009-02-28 08:06:00,2009-02-28 13:51:00,5422,58
3956,3,46,2009-02-28 09:02:00,2009-02-28 14:47:00,1972,21
3957,4,33,2009-02-28 09:02:00,2009-02-28 13:37:00,1572,16
3957,5,51,2009-02-28 08:33:00,2009-02-28 13:08:00,1572,16
3958,6,23,2009-02-28 08:47:00,2009-02-28 12:12:00,2197,23
3959,1,23,2009-03-03 08:15:00,2009-03-03 08:25:00,107,1
3959,2,28,2009-03-03 08:15:00,2009-03-03 08:25:00,157,1
3959,3,59,2009-03-03 08:29:00,2009-03-03 09:04:00,200,2
3960,4,46,2009-03-03 08:43:00,2009-03-03 09:18:00,200,2
3960,5,43,2009-03-03 08:43:00,2009-03-03 16:28:00,2660,28
3961,6,2,2009-03-03 08:56:00,2009-03-03 15:31:00,4234,45
3962,1,2,2009-03-04 08:56:00,2009-03-04 14:26:00,3537,37
3962,2,24,2009-03-04 08:57:00,2009-03-04 13:17:00,4087,43
3962,3,55,2009-03-04 08:57:00,2009-03-04 13:17:00,1487,15
3963,4,42,2009-03-04 09:24:00,2009-03-04 12:34:00,1087,11
3963,5,46,2009-03-04 09:24:00,2009-03-04 11:29:00,715,7
3964,6,19,2009-03-04 09:37:00,2009-03-04 11:42:00,1340,14
3965,1,19,2009-03-05 09:37:00,2009-03-05 10:32:00,589,6
3965,2,26,2009-03-05 08:11:00,2009-03-05 15:11:00,6603,70
3965,3,58,2009-03-05 08:11:00,2009-03-05 11:46:00,1230,13
3966,4,44,2009-03-05 08:25:00,2009-03-05 09:40:00,429,4
3966,5,43,2009-03-05 08:25:00,2009-03-05 13:30:00,1745,18
3967,6,17,2009-03-05 08:38:00,2009-03-05 11:23:00,1769,18
3968,1,17,2009-03-06 08:38:00,2009-03-06 09:08:00,321,3
3968,2,25,2009-03-06 08:52:00,2009-03-06 14:17:00,5109,54
3968,3,57,2009-03-06 08:52:00,2009-03-06 13:07:00,1459,15
3969,4,43,2009-03-06 09:06:00,2009-03-06 12:16:00,1087,11
3969,5,53,2009-03-06 09:06:00,2009-03-06 11:06:00,686,7
3970,6,16,2009-03-06 09:19:00,2009-03-06 14:24:00,3270,35
3971,1,16,2009-03-07 09:33:00,2009-03-07 14:38:00,3270,35
3971,2,25,2009-03-07 09:33:00,2009-03-07 17:33:00,7547,80
3971,3,43,2009-03-07 08:07:00,2009-03-07 16:07:00,2747,29
3972,4,47,2009-03-07 08:07:00,2009-03-07 15:02:00,2375,25
3972,5,33,2009-03-07 08:52:00,2009-03-07 14:37:00,1974,21
3973,6,12,2009-03-07 08:52:00,2009-03-07 13:27:00,2949,31
3974,1,12,2009-03-10 08:02:00,2009-03-10 13:32:00,3539,37
3974,2,24,2009-03-10 08:16:00,2009-03-10 12:06:00,3616,38
3974,3,55,2009-03-10 08:16:00,2009-03-10 10:56:00,916,9
3975,4,42,2009-03-10 09:14:00,2009-03-10 15:44:00,2233,23
3975,5,46,2009-03-10 09:14:00,2009-03-10 14:29:00,1803,19
3976,6,19,2009-03-10 09:27:00,2009-03-10 13:32:00,2627,28
3977,1,19,2009-03-11 09:27:00,2009-03-11 12:22:00,1877,20
3977,2,32,2009-03-11 08:01:00,2009-03-11 09:51:00,1729,18
3977,3,53,2009-03-11 08:01:00,2009-03-11 14:46:00,2319,24
3978,4,58,2009-03-11 08:15:00,2009-03-11 13:50:00,1918,20
3978,5,44,2009-03-11 08:15:00,2009-03-11 13:50:00,1918,20
3979,6,17,2009-03-11 08:28:00,2009-03-11 10:38:00,1394,14
3980,1,17,2009-03-12 08:28:00,2009-03-12 09:28:00,643,6
3980,2,25,2009-03-12 08:42:00,2009-03-12 16:57:00,7785,83
3980,3,57,2009-03-12 08:42:00,2009-03-12 16:57:00,2835,30
3981,4,43,2009-03-12 08:56:00,2009-03-12 14:51:00,2033,21
3981,5,48,2009-03-12 08:56:00,2009-03-12 13:46:00,1661,17
3982,6,11,2009-03-12 09:09:00,2009-03-12 12:49:00,2360,25
3983,1,11,2009-03-13 09:09:00,2009-03-13 12:49:00,2360,25
3983,2,29,2009-03-13 09:23:00,2009-03-13 12:58:00,3381,36
3983,3,44,2009-03-13 09:23:00,2009-03-13 12:58:00,1231,13
3984,4,43,2009-03-13 08:24:00,2009-03-13 15:49:00,2549,27
3984,5,48,2009-03-13 09:11:00,2009-03-13 15:31:00,2176,23
3985,6,21,2009-03-13 09:11:00,2009-03-13 14:21:00,3325,35
3986,1,21,2009-03-14 09:24:00,2009-03-14 12:19:00,1877,20
3986,2,25,2009-03-14 09:24:00,2009-03-14 12:19:00,2752,29
3986,3,57,2009-03-14 09:38:00,2009-03-14 11:23:00,601,6
3987,4,43,2009-03-14 09:38:00,2009-03-14 10:13:00,200,2
3987,5,47,2009-03-14 08:12:00,2009-03-14 08:47:00,200,2
3988,6,2,2009-03-14 08:12:00,2009-03-14 16:02:00,5042,54
3989,1,2,2009-03-17 09:34:00,2009-03-17 15:29:00,3809,40
3989,2,32,2009-03-17 09:34:00,2009-03-17 13:59:00,4168,44
3989,3,37,2009-03-17 08:07:00,2009-03-17 08:17:00,57,0
3990,4,55,2009-03-17 08:07:00,2009-03-17 08:17:00,57,0
3990,5,41,2009-03-17 08:21:00,2009-03-17 15:46:00,2550,27
3991,6,14,2009-03-17 08:21:00,2009-03-17 14:36:00,4024,43
3992,1,14,2009-03-18 08:35:00,2009-03-18 13:40:00,3273,35
3992,2,32,2009-03-18 08:35:00,2009-03-18 13:40:00,4798,51
3992,3,36,2009-03-18 08:48:00,2009-03-18 12:48:00,1375,14
3993,4,54,2009-03-18 08:48:00,2009-03-18 12:48:00,1375,14
3993,5,58,2009-03-18 09:02:00,2009-03-18 11:52:00,971,10
3994,6,17,2009-03-18 09:02:00,2009-03-18 09:12:00,107,1
3995,1,17,2009-03-19 09:16:00,2009-03-19 09:26:00,107,1
3995,2,26,2009-03-19 09:16:00,2009-03-19 09:51:00,549,5
3995,3,57,2009-03-19 09:29:00,2009-03-19 17:14:00,2657,28
3996,4,44,2009-03-19 09:29:00,2009-03-19 17:14:00,2657,28
3996,5,43,2009-03-19 08:03:00,2009-03-19 14:38:00,2257,24
3997,6,16,2009-03-19 08:03:00,2009-03-19 13:33:00,3535,37
3998,1,16,2009-03-20 08:17:00,2009-03-20 13:47:00,3535,37
3998,2,25,2009-03-20 08:17:00,2009-03-20 12:37:00,4085,43
3998,3,57,2009-03-20 09:23:00,2009-03-20 13:43:00,1485,15
3999,4,43,2009-03-20 09:23:00,2009-03-20 12:33:00,1085,11
3999,5,47,2009-03-20 08:44:00,2009-03-20 10:49:00,714,7
4000,6,2,2009-03-20 08:44:00,2009-03-20 10:49:00,1339,14
4001,1,2,2009-03-21 08:58:00,2009-03-21 09:53:00,589,6
4001,2,32,2009-03-21 09:11:00,2009-03-21 10:06:00,864,9
4001,3,37,2009-03-21 09:11:00,2009-03-21 17:16:00,2772,29
4002,4,55,2009-03-21 09:25:00,2009-03-21 16:25:00,2400,25
4002,5,41,2009-03-21 09:25:00,2009-03-21 16:25:00,2400,25
4003,6,14,2009-03-21 09:39:00,2009-03-21 10:14:00,375,4
4004,1,14,2009-03-24 09:07:00,2009-03-24 15:17:00,3965,42
4004,2,32,2009-03-24 09:07:00,2009-03-24 15:17:00,5815,62
4004,3,36,2009-03-24 09:21:00,2009-03-24 14:26:00,1743,18
4005,4,54,2009-03-24 09:21:00,2009-03-24 14:26:00,1744,18
4005,5,58,2009-03-24 09:35:00,2009-03-24 13:30:00,1343,14
4006,6,17,2009-03-24 09:35:00,2009-03-24 12:20:00,1768,18
4007,1,17,2009-03-25 08:08:00,2009-03-25 09:08:00,643,6
4007,2,26,2009-03-25 08:22:00,2009-03-25 09:22:00,943,10
4007,3,57,2009-03-25 08:22:00,2009-03-25 08:52:00,171,1
4008,4,44,2009-03-25 08:36:00,2009-03-25 09:06:00,171,1
4008,5,43,2009-03-25 08:36:00,2009-03-25 16:16:00,2630,28
4009,6,16,2009-03-25 08:49:00,2009-03-25 15:24:00,4234,45
4010,1,16,2009-03-26 08:49:00,2009-03-26 15:24:00,4234,45
4010,2,25,2009-03-26 09:03:00,2009-03-26 14:28:00,5108,54
4010,3,57,2009-03-26 09:03:00,2009-03-26 14:28:00,1858,19
4011,4,43,2009-03-26 09:17:00,2009-03-26 13:32:00,1458,15
4011,5,47,2009-03-26 09:17:00,2009-03-26 12:27:00,1086,11
4012,6,2,2009-03-26 08:29:00,2009-03-26 11:39:00,2036,21
4013,1,2,2009-03-27 08:29:00,2009-03-27 10:29:00,1286,13
4013,2,32,2009-03-27 08:04:00,2009-03-27 10:04:00,1886,20
